%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1640845763952042479,0,792.0,699.0,1019.0,937.0
1640845764062937521,0,797.0,691.0,1022.0,942.0
1640845764159684456,0,797.0,692.0,1023.0,948.0
1640845764254970276,0,800.0,693.0,1021.0,949.0
1640845764366606388,0,798.0,695.0,1020.0,945.0
1640845764463285098,0,801.0,693.0,1023.0,938.0
1640845764559569606,0,806.0,691.0,1023.0,938.0
1640845764670304575,0,801.0,695.0,1023.0,949.0
1640845764767033891,0,796.0,696.0,1022.0,949.0
1640845764862443770,0,797.0,694.0,1023.0,944.0
1640845764973920958,0,797.0,693.0,1023.0,943.0
1640845765070626112,0,803.0,692.0,1023.0,939.0
1640845765181658746,0,800.0,691.0,1023.0,941.0
1640845765277572104,0,800.0,692.0,1023.0,945.0
1640845765374196002,0,797.0,692.0,1023.0,938.0
1640845765485310324,0,795.0,697.0,1021.0,948.0
1640845765582032860,0,793.0,695.0,1023.0,949.0
1640845765677340897,0,795.0,694.0,1023.0,945.0
1640845765789048654,0,797.0,692.0,1023.0,947.0
1640845765884944019,0,799.0,694.0,1023.0,945.0
1640845765981517961,0,799.0,693.0,1019.0,952.0
1640845766092496762,0,797.0,694.0,1023.0,949.0
1640845766189198322,0,793.0,694.0,1023.0,953.0
1640845766286483548,0,797.0,693.0,1023.0,955.0
1640845766396095770,0,797.0,692.0,1023.0,945.0
1640845766492365464,0,796.0,693.0,1021.0,956.0
1640845766589024972,0,792.0,695.0,1020.0,948.0
1640845766699809033,0,794.0,699.0,1023.0,950.0
1640845766796687559,0,807.0,692.0,1023.0,942.0
1640845766892889922,0,798.0,693.0,1023.0,945.0
1640845767003467357,0,794.0,694.0,1020.0,950.0
1640845767100006698,0,795.0,694.0,1022.0,948.0
1640845767198017119,0,794.0,695.0,1023.0,952.0
1640845767307045096,0,796.0,692.0,1023.0,950.0
1640845767403753540,0,805.0,691.0,1023.0,945.0
1640845767499970811,0,797.0,692.0,1022.0,951.0
1640845767610787850,0,795.0,695.0,1023.0,949.0
1640845767707903325,0,796.0,694.0,1023.0,941.0
1640845767802723714,0,796.0,694.0,1023.0,938.0
1640845767914391836,0,795.0,692.0,1023.0,939.0
1640845768011597010,0,804.0,693.0,1022.0,948.0
1640845768106703668,0,796.0,693.0,1023.0,949.0
1640845768217963335,0,797.0,693.0,1023.0,952.0
1640845768314684640,0,794.0,697.0,1017.0,946.0
1640845768425796899,0,796.0,695.0,1020.0,949.0
1640845768521741933,0,797.0,695.0,1022.0,943.0
1640845768619396508,0,808.0,691.0,1023.0,942.0
1640845768729349175,0,799.0,694.0,1023.0,941.0
1640845768826043958,0,801.0,693.0,1023.0,940.0
1640845768921718955,0,800.0,692.0,1023.0,941.0
1640845769033338523,0,805.0,692.0,1023.0,941.0
1640845769129425504,0,805.0,692.0,1023.0,945.0
1640845769225315410,0,803.0,694.0,1023.0,946.0
1640845769337418735,0,799.0,690.0,1023.0,944.0
1640845769433020270,0,800.0,692.0,1023.0,943.0
1640845769529128692,0,798.0,693.0,1023.0,945.0
1640845769647240443,0,798.0,694.0,1023.0,936.0
1640845769736445943,0,796.0,694.0,1023.0,941.0
1640845769832600641,0,798.0,692.0,1023.0,943.0
1640845769943974845,0,796.0,694.0,1021.0,944.0
1640845770041204759,0,795.0,695.0,1020.0,943.0
1640845770136680145,0,798.0,698.0,1019.0,939.0
1640845770247682670,0,798.0,698.0,1022.0,933.0
1640845770344012368,0,797.0,696.0,1022.0,942.0
1640845770439980207,0,795.0,696.0,1021.0,943.0
1640845770551282496,0,793.0,696.0,1018.0,939.0
1640845770648152434,0,792.0,695.0,1022.0,948.0
1640845770743796095,0,792.0,693.0,1019.0,938.0
1640845770855990094,0,792.0,695.0,1022.0,936.0
1640845770951289615,0,795.0,694.0,1023.0,936.0
1640845771047394878,0,798.0,693.0,1021.0,934.0
1640845771159745511,0,793.0,692.0,1023.0,933.0
1640845771254636125,0,793.0,694.0,1023.0,934.0
1640845771351021056,0,793.0,695.0,1023.0,924.0
1640845771462287412,0,795.0,694.0,1023.0,926.0
1640845771559160306,0,795.0,694.0,1023.0,927.0
1640845771670042987,0,796.0,699.0,1023.0,934.0
1640845771765937392,0,793.0,695.0,1021.0,933.0
1640845771862274517,0,797.0,694.0,1023.0,930.0
1640845771975587664,0,797.0,697.0,1022.0,937.0
1640845772069730573,0,798.0,692.0,1022.0,933.0
1640845772165641112,0,801.0,693.0,1023.0,928.0
1640845772277311751,0,802.0,692.0,1023.0,932.0
1640845772374091718,0,797.0,693.0,1023.0,941.0
1640845772470214822,0,799.0,689.0,1023.0,933.0
1640845772580912310,0,802.0,692.0,1023.0,927.0
1640845772677505968,0,797.0,692.0,1023.0,928.0
1640845772773016985,0,801.0,692.0,1023.0,926.0
1640845772884772024,0,812.0,691.0,1023.0,926.0
1640845772981102683,0,796.0,691.0,1023.0,929.0
1640845773079588905,0,799.0,691.0,1023.0,928.0
1640845773188287338,0,799.0,694.0,1023.0,928.0
1640845773284742151,0,797.0,693.0,1023.0,926.0
1640845773380422783,0,797.0,693.0,1023.0,928.0
1640845773492055980,0,796.0,694.0,1023.0,926.0
1640845773588752528,0,796.0,693.0,1023.0,924.0
1640845773687553171,0,796.0,696.0,1023.0,924.0
1640845773795910683,0,797.0,695.0,1022.0,927.0
1640845773892559958,0,800.0,692.0,1023.0,926.0
1640845773988438275,0,795.0,690.0,1023.0,932.0
1640845774099383925,0,794.0,692.0,1022.0,937.0
1640845774195902534,0,793.0,694.0,1020.0,936.0
1640845774291700154,0,797.0,691.0,1023.0,934.0
1640845774402808738,0,798.0,692.0,1023.0,940.0
1640845774499919588,0,799.0,690.0,1023.0,932.0
1640845774598002498,0,801.0,691.0,1023.0,924.0
1640845774706526032,0,799.0,693.0,1023.0,930.0
1640845774802623591,0,794.0,695.0,1023.0,931.0
1640845774914245071,0,795.0,695.0,1021.0,932.0
1640845775010165922,0,797.0,690.0,1021.0,939.0
1640845775107125830,0,799.0,697.0,1023.0,930.0
1640845775217802341,0,799.0,692.0,1023.0,932.0
1640845775314402444,0,796.0,691.0,1023.0,931.0
1640845775410021102,0,796.0,692.0,1023.0,928.0
1640845775521525470,0,792.0,694.0,1023.0,933.0
1640845775617829877,0,790.0,694.0,1019.0,936.0
1640845775713425376,0,791.0,694.0,1021.0,945.0
1640845775825049783,0,795.0,693.0,1022.0,924.0
1640845775921690342,0,795.0,692.0,1023.0,928.0
1640845776017230499,0,793.0,693.0,1023.0,936.0
1640845776128756593,0,793.0,692.0,1023.0,938.0
1640845776225943887,0,796.0,692.0,1023.0,931.0
1640845776321510371,0,792.0,697.0,1020.0,937.0
1640845776432546295,0,793.0,695.0,1020.0,933.0
1640845776529261710,0,794.0,690.0,1023.0,940.0
1640845776624689173,0,795.0,693.0,1023.0,930.0
1640845776735956124,0,788.0,694.0,1023.0,933.0
1640845776831847848,0,792.0,694.0,1023.0,937.0
1640845776928449347,0,790.0,695.0,1019.0,936.0
1640845777039566272,0,794.0,692.0,1022.0,926.0
1640845777136622480,0,799.0,689.0,1023.0,932.0
1640845777232435484,0,795.0,692.0,1023.0,926.0
1640845777343244937,0,793.0,694.0,1023.0,933.0
1640845777443886599,0,791.0,696.0,1022.0,932.0
1640845777535629274,0,796.0,692.0,1023.0,931.0
1640845777647212119,0,792.0,692.0,1023.0,924.0
1640845777743630951,0,791.0,694.0,1019.0,934.0
1640845777839773260,0,794.0,693.0,1023.0,922.0
1640845777950572558,0,798.0,690.0,1023.0,929.0
1640845778047873671,0,791.0,695.0,1023.0,931.0
1640845778144355942,0,793.0,698.0,1019.0,931.0
1640845778254243323,0,797.0,692.0,1023.0,931.0
1640845778350366553,0,798.0,692.0,1021.0,931.0
1640845778461892865,0,797.0,695.0,1023.0,931.0
1640845778557888451,0,798.0,692.0,1020.0,935.0
1640845778654422739,0,803.0,690.0,1023.0,926.0
